plant_id,replicate,class,severity_demo,r_400,r_410,r_420,r_430,r_440,r_450,r_460,r_470,r_480,r_490,r_500,r_510,r_520,r_530,r_540,r_550,r_560,r_570,r_580,r_590,r_600,r_610,r_620,r_630,r_640,r_650,r_660,r_670,r_680,r_690,r_700,r_710,r_720,r_730,r_740,r_750,r_760,r_770,r_780,r_790,r_800,r_810,r_820,r_830,r_840,r_850,r_860,r_870,r_880,r_890,r_900,r_910,r_920,r_930,r_940,r_950,r_960,r_970,r_980,r_990,r_1000
HEA-001,1,Healthy,0.0,0.08001,0.0824,0.07785,0.07301,0.07673,0.07298,0.08256,0.09507,0.08441,0.08971,0.10757,0.11781,0.12821,0.13141,0.14681,0.15559,0.13632,0.13525,0.11221,0.10454,0.08823,0.0905,0.07244,0.07457,0.06252,0.04892,0.02336,0.04144,0.06175,0.0963,0.13286,0.20361,0.26741,0.33302,0.40125,0.42559,0.45827,0.48237,0.48084,0.49068,0.49601,0.4977,0.48858,0.49968,0.51034,0.48732,0.5067,0.50085,0.49481,0.51597,0.50608,0.49039,0.50059,0.50461,0.49849,0.50546,0.49947,0.50534,0.51151,0.49459,0.50163
HEA-001,2,Healthy,0.0,0.0763,0.08103,0.07055,0.0755,0.0788,0.0881,0.09124,0.07376,0.08199,0.09985,0.08771,0.11125,0.12659,0.14891,0.15256,0.14741,0.14413,0.13691,0.13961,0.11143,0.10054,0.09521,0.08161,0.07082,0.05236,0.05032,0.03994,0.05508,0.06736,0.0952,0.15045,0.20472,0.28366,0.33945,0.39743,0.42173,0.46131,0.46179,0.46922,0.48913,0.48792,0.4985,0.51634,0.49242,0.49447,0.50134,0.50377,0.49849,0.49829,0.50559,0.50414,0.49172,0.49936,0.50028,0.49156,0.50208,0.49314,0.50778,0.50154,0.50071,0.49527
HEA-001,3,Healthy,0.0,0.07906,0.06403,0.07099,0.08304,0.06334,0.08769,0.06811,0.09041,0.08158,0.10091,0.1047,0.10266,0.13736,0.15039,0.14652,0.14784,0.1458,0.13111,0.13621,0.11052,0.10256,0.08604,0.07757,0.06218,0.07133,0.04918,0.05122,0.04586,0.05658,0.09278,0.14062,0.2075,0.27224,0.33709,0.38174,0.4256,0.47177,0.46993,0.47707,0.49427,0.50638,0.48556,0.49671,0.49401,0.48538,0.50557,0.49964,0.50047,0.49392,0.50361,0.49567,0.49885,0.49113,0.49027,0.51068,0.49594,0.50233,0.49973,0.49647,0.49594,0.50504
HEA-002,1,Healthy,0.0,0.07759,0.0788,0.08022,0.08955,0.08581,0.08397,0.07757,0.0733,0.09594,0.10241,0.10253,0.11929,0.13362,0.1455,0.15442,0.14639,0.1592,0.12894,0.13432,0.11881,0.10995,0.10742,0.09445,0.06324,0.04776,0.05695,0.03537,0.04565,0.06886,0.08225,0.12822,0.20951,0.27559,0.33753,0.39307,0.42517,0.44642,0.47397,0.47773,0.47842,0.49917,0.4967,0.50163,0.49116,0.4942,0.4917,0.49273,0.50146,0.49368,0.50282,0.5027,0.51619,0.48885,0.5071,0.49928,0.49989,0.4884,0.49632,0.50595,0.49934,0.50065
HEA-002,2,Healthy,0.0,0.07768,0.08925,0.07987,0.06253,0.07483,0.06516,0.05607,0.08011,0.09901,0.09505,0.09427,0.10743,0.13642,0.14012,0.14743,0.1496,0.14739,0.14536,0.13184,0.11658,0.09462,0.09647,0.0771,0.08115,0.0511,0.04932,0.04343,0.03515,0.07592,0.10708,0.14139,0.21361,0.27827,0.31858,0.39477,0.43156,0.4592,0.46668,0.48335,0.49014,0.50463,0.49986,0.49834,0.5113,0.49502,0.49658,0.48529,0.51245,0.50766,0.5073,0.50533,0.50087,0.50172,0.49798,0.49837,0.50043,0.51209,0.50445,0.49953,0.49536,0.49492
HEA-002,3,Healthy,0.0,0.09283,0.08407,0.08059,0.07737,0.07149,0.08038,0.08907,0.08121,0.08653,0.09291,0.10453,0.10221,0.12549,0.13202,0.15412,0.14387,0.15169,0.15111,0.12492,0.11005,0.1045,0.09237,0.07463,0.07609,0.07739,0.04835,0.04187,0.03739,0.06469,0.08542,0.13625,0.21767,0.268,0.34814,0.40496,0.43413,0.46296,0.49092,0.48393,0.48683,0.4843,0.49752,0.51022,0.50675,0.49193,0.49285,0.49579,0.50224,0.4983,0.50168,0.50235,0.4976,0.49967,0.50165,0.49933,0.50403,0.51497,0.50474,0.50045,0.48651,0.5031
HEA-003,1,Healthy,0.0,0.06443,0.06874,0.08688,0.08579,0.07917,0.06723,0.07911,0.07892,0.09344,0.11274,0.10539,0.10872,0.11801,0.13841,0.14563,0.14082,0.14801,0.12971,0.13632,0.12336,0.11164,0.08859,0.08669,0.07135,0.05816,0.0477,0.03309,0.0342,0.06849,0.09387,0.14683,0.21545,0.26137,0.33322,0.39417,0.43519,0.45552,0.48353,0.48719,0.48186,0.48768,0.50363,0.50209,0.48388,0.51025,0.50448,0.51057,0.49683,0.49758,0.49096,0.52028,0.49859,0.51269,0.49482,0.50131,0.48663,0.49694,0.50787,0.48999,0.50858,0.5027
HEA-003,2,Healthy,0.0,0.07165,0.076,0.07637,0.07974,0.07608,0.07429,0.07964,0.07614,0.07803,0.09429,0.11072,0.10272,0.1274,0.13365,0.13923,0.15686,0.14293,0.1509,0.12119,0.11795,0.10115,0.08635,0.08728,0.07116,0.06609,0.05004,0.0348,0.04493,0.06256,0.10306,0.13785,0.20712,0.26146,0.3447,0.38411,0.4176,0.45806,0.48414,0.47331,0.48287,0.48918,0.48815,0.50142,0.49261,0.49369,0.50436,0.49378,0.50336,0.49217,0.49027,0.4853,0.51488,0.49743,0.50195,0.49975,0.50128,0.5004,0.51527,0.49169,0.48754,0.4919
HEA-003,3,Healthy,0.0,0.06933,0.08599,0.08661,0.07244,0.06924,0.07807,0.09321,0.0618,0.09256,0.08607,0.11198,0.10633,0.12509,0.1268,0.13923,0.16112,0.15364,0.1357,0.12046,0.09971,0.09982,0.09214,0.08191,0.07165,0.05229,0.04989,0.04318,0.05607,0.07707,0.0943,0.13897,0.20692,0.27038,0.33355,0.3923,0.42371,0.46338,0.47447,0.4875,0.49011,0.48931,0.48961,0.49648,0.49468,0.50134,0.49966,0.48893,0.50044,0.4892,0.49503,0.49763,0.48339,0.50073,0.5012,0.49873,0.4966,0.49701,0.49219,0.49784,0.49558,0.50073
HEA-004,1,Healthy,0.0,0.07037,0.0819,0.08119,0.079,0.07685,0.08533,0.06876,0.08804,0.09029,0.09694,0.10672,0.10973,0.12529,0.14395,0.15049,0.15169,0.13496,0.14322,0.13678,0.12294,0.10484,0.07992,0.09012,0.07122,0.04101,0.05343,0.03155,0.03538,0.05706,0.10558,0.14214,0.2096,0.28922,0.35225,0.39194,0.43012,0.44845,0.46974,0.48891,0.49474,0.49601,0.50515,0.4922,0.49862,0.50532,0.50437,0.50839,0.50308,0.49747,0.50286,0.49196,0.48687,0.50464,0.49956,0.50247,0.48642,0.49708,0.4952,0.49309,0.48196,0.49732
